text,label,sentiment_score,sentiment_label
some areas are underdeveloped,0,0.0,Neutral
moderate irrigation available,0,0.2,Positive
crop condition is acceptable,0,0.0,Neutral
yield may be average,0,-0.15,Negative
plants are not uniform,0,0.0,Neutral
slight stress observed,0,-0.16666666666666666,Negative
needs better water management,0,0.5,Positive
growth is slow in few areas,0,-0.25,Negative
minor disease symptoms seen,0,-0.05,Negative
plants are partially healthy,0,0.5,Positive
field condition is mixed,0,0.0,Neutral
some damage observed,0,0.0,Neutral
crop is neither good nor bad,0,5.551115123125783e-17,Positive
moderate vegetation cover,0,0.0,Neutral
uneven crop density,0,-0.2,Negative
plants require attention,0,0.0,Neutral
some leaves are drying,0,0.0,Neutral
growth is below expectation,0,0.0,Neutral
partial pest infestation,0,-0.1,Negative
crop is stable but not strong,0,-0.21666666666666665,Negative
some areas lack nutrients,0,0.0,Neutral
moderate growth rate,0,0.0,Neutral
crop health is average,0,-0.15,Negative
field needs improvement,0,0.0,Neutral
plants are weak in patches,0,-0.375,Negative
irregular rainfall affected crop,0,0.0,Neutral
slightly poor performance,0,-0.4,Negative
growth is moderate,0,0.0,Neutral
crop condition is manageable,0,0.0,Neutral
needs better irrigation,0,0.5,Positive
plants are not fully developed,0,0.1,Positive
moderate stress present,0,0.0,Neutral
field shows mixed results,0,0.0,Neutral
crop needs monitoring,0,0.0,Neutral
not fully healthy condition,0,0.5,Positive
growth is not consistent,0,-0.125,Negative
average vegetation observed,0,-0.15,Negative
crop is drying due to lack of water,-1,-0.125,Negative
plants are severely damaged,-1,0.0,Neutral
no rainfall and drought conditions,-1,0.0,Neutral
heavy pest attack observed,-1,-0.2,Negative
crop is in very poor condition,-1,-0.52,Negative
leaves are completely dry,-1,-0.06666666666666665,Negative
plants are dying,-1,0.0,Neutral
very low yield expected,-1,-0.05,Negative
soil is too dry,-1,-0.06666666666666665,Negative
crop failure likely,-1,-0.15833333333333335,Negative
severe water shortage,-1,0.0,Neutral
disease has spread widely,-1,-0.1,Negative
plants are weak and broken,-1,-0.3875,Negative
field is almost dry,-1,-0.06666666666666665,Negative
no proper irrigation,-1,0.0,Neutral
crop is under stress,-1,0.0,Neutral
leaves are turning yellow,-1,0.0,Neutral
major pest infestation,-1,0.0625,Positive
crop is deteriorating,-1,0.0,Neutral
plants are not growing,-1,0.0,Neutral
field condition is very bad,-1,-0.9099999999999998,Negative
growth has stopped,-1,0.0,Neutral
extreme heat damaged crop,-1,-0.125,Negative
no signs of recovery,-1,0.0,Neutral
plants are wilted,-1,0.0,Neutral
crop is collapsing,-1,0.0,Neutral
very poor vegetation,-1,-0.52,Negative
damage is irreversible,-1,0.0,Neutral
crop health is critical,-1,0.0,Neutral
field is almost barren,-1,0.0,Neutral
plants are extremely weak,-1,-0.375,Negative
water scarcity affected growth,-1,0.0,Neutral
no green cover left,-1,0.05,Positive
crop is failing badly,-1,-0.6999999999999998,Negative
severe dryness observed,-1,0.0,Neutral
plants are not surviving,-1,0.0,Neutral
field is degraded,-1,0.0,Neutral
low productivity expected,-1,-0.05,Negative
crop is in worst condition,-1,-1.0,Negative
no support from rainfall,-1,0.0,Neutral
plants are lifeless,-1,0.0,Neutral
field is damaged heavily,-1,-0.2,Negative
growth is completely halted,-1,0.1,Positive
crop is beyond recovery,-1,0.0,Neutral
soil moisture is zero,-1,0.0,Neutral
plants are dead,-1,-0.2,Negative
extreme stress condition,-1,-0.125,Negative
crop is completely damaged,-1,0.1,Positive
no vegetation left,-1,0.0,Neutral
very bad field condition,-1,-0.9099999999999998,Negative
