text,label,clean_text,predicted_label,sentiment_score
plants require attention,0,plants require attention,1,0.8738420009613037
some leaves are drying,0,some leaves are drying,-1,-0.9557808041572571
growth is below expectation,0,growth is below expectation,-1,-0.5259382128715515
partial pest infestation,0,partial pest infestation,-1,-0.9980954527854919
crop is stable but not strong,0,crop is stable but not strong,-1,-0.6956135034561157
some areas lack nutrients,0,some areas lack nutrients,-1,-0.9988861680030823
moderate growth rate,0,moderate growth rate,1,0.9995368719100952
crop health is average,0,crop health is average,1,0.9152064919471741
field needs improvement,0,field needs improvement,-1,-0.9955516457557678
plants are weak in patches,0,plants are weak in patches,-1,-0.9994587302207947
irregular rainfall affected crop,0,irregular rainfall affected crop,-1,-0.9353328943252563
slightly poor performance,0,slightly poor performance,-1,-0.9997715353965759
growth is moderate,0,growth is moderate,1,0.9991577863693237
crop condition is manageable,0,crop condition is manageable,1,0.993894636631012
needs better irrigation,0,needs better irrigation,-1,-0.9986989498138428
plants are not fully developed,0,plants are not fully developed,-1,-0.9996548891067505
moderate stress present,0,moderate stress present,-1,-0.9553852081298828
field shows mixed results,0,field shows mixed results,-1,-0.9991559982299805
crop needs monitoring,0,crop needs monitoring,-1,-0.9881333708763123
not fully healthy condition,0,not fully healthy condition,-1,-0.9997273087501526
growth is not consistent,0,growth is not consistent,-1,-0.993874728679657
average vegetation observed,0,average vegetation observed,1,0.9142754673957825
crop is drying due to lack of water,-1,crop is drying due to lack of water,-1,-0.9990377426147461
plants are severely damaged,-1,plants are severely damaged,-1,-0.9996927976608276
no rainfall and drought conditions,-1,no rainfall and drought conditions,-1,-0.9110775589942932
heavy pest attack observed,-1,heavy pest attack observed,-1,-0.9966250658035278
crop is in very poor condition,-1,crop is in very poor condition,-1,-0.9996669292449951
leaves are completely dry,-1,leaves are completely dry,-1,-0.9997262358665466
plants are dying,-1,plants are dying,-1,-0.9995914101600647
very low yield expected,-1,very low yield expected,-1,-0.999554455280304
soil is too dry,-1,soil is too dry,-1,-0.9997377991676331
crop failure likely,-1,crop failure likely,-1,-0.9997338652610779
severe water shortage,-1,severe water shortage,-1,-0.9985741376876831
disease has spread widely,-1,disease has spread widely,-1,-0.9731311202049255
plants are weak and broken,-1,plants are weak and broken,-1,-0.999325156211853
field is almost dry,-1,field is almost dry,-1,-0.9992759823799133
no proper irrigation,-1,no proper irrigation,-1,-0.9997459053993225
crop is under stress,-1,crop is under stress,-1,-0.9936043620109558
leaves are turning yellow,-1,leaves are turning yellow,-1,-0.9983139038085938
major pest infestation,-1,major pest infestation,-1,-0.9985575079917908
crop is deteriorating,-1,crop is deteriorating,-1,-0.9996780157089233
plants are not growing,-1,plants are not growing,-1,-0.999699592590332
field condition is very bad,-1,field condition is very bad,-1,-0.9998114705085754
growth has stopped,-1,growth has stopped,-1,-0.9995942711830139
extreme heat damaged crop,-1,extreme heat damaged crop,-1,-0.9993357062339783
no signs of recovery,-1,no signs of recovery,-1,-0.9996949434280396
plants are wilted,-1,plants are wilted,1,0.9680984616279602
crop is collapsing,-1,crop is collapsing,-1,-0.9997568726539612
very poor vegetation,-1,very poor vegetation,-1,-0.9998000264167786
damage is irreversible,-1,damage is irreversible,-1,-0.9994602799415588
crop health is critical,-1,crop health is critical,-1,-0.9932189583778381
field is almost barren,-1,field is almost barren,-1,-0.9993429780006409
plants are extremely weak,-1,plants are extremely weak,-1,-0.9997327923774719
water scarcity affected growth,-1,water scarcity affected growth,-1,-0.9738309383392334
no green cover left,-1,no green cover left,-1,-0.9981853365898132
crop is failing badly,-1,crop is failing badly,-1,-0.9997497200965881
severe dryness observed,-1,severe dryness observed,-1,-0.999482274055481
plants are not surviving,-1,plants are not surviving,-1,-0.9990960359573364
field is degraded,-1,field is degraded,-1,-0.999729573726654
low productivity expected,-1,low productivity expected,-1,-0.9996159076690674
crop is in worst condition,-1,crop is in worst condition,-1,-0.9997658133506775
no support from rainfall,-1,no support from rainfall,-1,-0.9996492862701416
plants are lifeless,-1,plants are lifeless,-1,-0.9997784495353699
field is damaged heavily,-1,field is damaged heavily,-1,-0.999630331993103
growth is completely halted,-1,growth is completely halted,-1,-0.9997466206550598
crop is beyond recovery,-1,crop is beyond recovery,-1,-0.9987298846244812
soil moisture is zero,-1,soil moisture is zero,-1,-0.9993575215339661
plants are dead,-1,plants are dead,-1,-0.9997050166130066
extreme stress condition,-1,extreme stress condition,-1,-0.9972546696662903
crop is completely damaged,-1,crop is completely damaged,-1,-0.9996863603591919
no vegetation left,-1,no vegetation left,-1,-0.9973686933517456
very bad field condition,-1,very bad field condition,-1,-0.9997962117195129
